,ibd_lengths,ibd_nodes
0,14261.0,349712
1,18662.0,343642
2,42393.0,111732
3,21778.0,349712
4,2691.0,322101
5,64174.0,132053
6,12214.0,343642
7,29617.0,333721
8,838.0,277459
9,33346.0,343773
10,44259.0,141165
11,14397.0,216346
12,31437.0,369010
13,2754.0,245230
14,21291.0,369010
15,24474.0,376200
16,17060.0,277459
17,1578.0,245230
18,72261.0,245230
19,60353.0,222345
20,72091.0,107739
21,14261.0,349712
22,64174.0,132053
23,37928.0,327388
24,56206.0,22936
25,21935.0,369010
26,19981.0,248970
27,5956.0,263111
28,12689.0,369010
29,15978.0,248970
30,72091.0,107739
31,86091.0,128267
32,64174.0,75001
33,2691.0,354695
34,30428.0,263111
35,824.0,289824
36,2867.0,328602
37,18662.0,343642
38,20425.0,289824
39,7612.0,338800
40,24474.0,376200
41,7715.0,360062
42,24137.0,107739
43,10197.0,333721
44,15978.0,248970
45,28853.0,252664
46,5956.0,263111
47,56206.0,22936
48,21778.0,349712
49,18662.0,343642
50,14963.0,177750
51,11675.0,369010
52,1034.0,335618
53,10718.0,301559
54,37928.0,327388
55,2867.0,328602
56,10718.0,301559
57,1799.0,364151
58,14397.0,216346
59,116240.0,177750
60,24137.0,107739
61,7472.0,349712
62,9574.0,182214
63,29564.0,335618
64,22533.0,242533
65,2867.0,328602
66,25674.0,375219
67,10900.0,242533
68,31006.0,343642
69,68291.0,248970
70,8565.0,248970
71,4744.0,335618
72,21778.0,349712
73,21935.0,369010
74,21778.0,349712
75,64174.0,75001
76,13425.0,263111
77,2691.0,114899
78,32563.0,244081
79,7612.0,338800
80,2867.0,328602
81,2691.0,114899
82,68362.0,141165
83,19159.0,242533
84,38116.0,335618
85,17060.0,277459
86,32563.0,244081
87,83215.0,211661
88,64174.0,132053
89,21778.0,349712
90,7478.0,174986
91,2691.0,354695
92,44259.0,141165
93,68362.0,141165
94,15881.0,360062
95,31006.0,343642
96,32563.0,244081
97,86091.0,128267
98,31006.0,343642
99,38547.0,206174
100,30681.0,343642
101,11737.0,321658
102,5923.0,296868
103,23277.0,296869
104,2717.0,297984
105,11481.0,228150
106,28347.0,206054
107,2463.0,331654
108,30953.0,168651
109,17242.0,206054
110,75373.0,206054
111,21681.0,265066
112,85648.0,242210
113,6924.0,168651
114,1838.0,206621
115,9843.0,132944
116,14105.0,93154
117,23051.0,172862
118,23419.0,336345
119,26195.0,131730
120,9258.0,206054
121,76639.0,12852
122,39426.0,172862
123,85648.0,242210
124,326.0,199005
125,28338.0,265066
126,23051.0,172862
127,2463.0,331654
128,63861.0,164520
129,17879.0,321658
130,37167.0,299869
131,36801.0,273994
132,7963.0,269883
133,5923.0,296868
134,23277.0,296869
135,14105.0,93154
136,23419.0,336345
137,11503.0,206054
138,39426.0,172862
139,47331.0,20198
140,43816.0,297984
141,33455.0,328686
142,9258.0,206054
143,24078.0,297984
144,5073.0,364061
145,23743.0,242210
146,9258.0,206054
147,9116.0,297984
148,4776.0,299869
149,10100.0,265066
150,38488.0,190874
151,2463.0,331654
152,9843.0,132944
153,4322.0,265066
154,9258.0,206054
155,37412.0,299869
156,5073.0,364061
157,1838.0,206621
158,20188.0,202305
159,2463.0,331654
160,5073.0,364061
161,15147.0,297984
162,37167.0,299869
163,16177.0,336345
164,2463.0,331654
165,180.0,296869
166,326.0,199005
167,28338.0,265066
168,6408.0,364731
169,224213.0,57053
170,24614.0,321658
171,75373.0,206054
172,26195.0,131730
173,23051.0,172862
174,35516.0,183380
175,47735.0,297984
176,21681.0,265066
177,35516.0,183380
178,33799.0,57053
179,20264.0,269883
180,30953.0,168651
181,4928.0,265066
182,60392.0,150957
183,5923.0,296868
184,22795.0,311346
185,34365.0,332352
186,37879.0,306692
187,56593.0,199630
188,96142.0,253411
189,22795.0,311346
190,62314.0,332352
191,10501.0,253411
192,33713.0,256762
193,25899.0,167930
194,37505.0,275016
195,6228.0,273825
196,62314.0,332352
197,10276.0,253411
198,29053.0,110535
199,45359.0,332352
200,68442.0,199630
201,33266.0,354418
202,11735.0,304502
203,9596.0,253411
204,28360.0,332352
205,31646.0,296379
206,8280.0,299833
207,8908.0,345140
208,31646.0,296379
209,19020.0,125064
210,36600.0,125064
211,84762.0,125065
212,4614.0,358351
213,58418.0,318428
214,51507.0,125065
215,56593.0,199630
216,9796.0,289146
217,27513.0,332352
218,25616.0,357081
219,34921.0,270242
220,8280.0,299833
221,4614.0,358351
222,5948.0,359363
223,62571.0,110535
224,33713.0,100463
225,177969.0,125065
226,62314.0,332352
227,18812.0,346818
228,36776.0,186463
229,45359.0,332352
230,58061.0,188530
231,6228.0,273825
232,65336.0,304502
233,9596.0,253411
234,28360.0,332352
235,51007.0,140135
236,68442.0,199630
237,14403.0,258707
238,16667.0,156712
239,16139.0,183513
240,27513.0,332352
241,42202.0,110535
242,37879.0,306692
243,4666.0,209651
244,29047.0,256762
245,63176.0,304502
246,67104.0,270242
247,33713.0,256762
248,4614.0,358351
249,8349.0,296379
250,95489.0,334187
251,23063.0,357081
252,41084.0,122413
253,36600.0,125064
254,26241.0,306326
255,19020.0,125064
256,36600.0,125064
257,236186.0,125065
258,9510.0,146854
259,44785.0,140135
260,2790.0,354418
261,78882.0,18190
262,48597.0,270242
263,25616.0,357081
264,24067.0,306326
265,23868.0,100463
266,67104.0,270242
267,14403.0,258707
268,4614.0,358351
269,96142.0,253411
270,18812.0,346818
271,9228.0,188530
272,42282.0,167930
273,16825.0,180227
274,68442.0,199630
275,11197.0,332352
276,37879.0,306692
277,4614.0,373121
278,8761.0,110535
279,263318.0,22702
280,8908.0,345140
281,23063.0,357081
282,23005.0,332352
283,49891.0,242149
284,33757.0,253411
285,24124.0,357081
286,16215.0,242149
287,56593.0,199630
288,6767.0,268671
289,61822.0,332352
290,62314.0,332352
291,11891.0,354418
292,34053.0,110535
293,58212.0,199457
