,ibd_lengths,ibd_nodes
0,1000000.0,133810
1,1000000.0,2180
2,1000000.0,323211
3,1000000.0,323211
4,1000000.0,222788
5,1000000.0,5375
6,1000000.0,302962
7,1000000.0,121291
8,17936.0,328926
9,17936.0,328926
10,1000000.0,88275
11,801692.0,279297
12,1000000.0,64427
13,1000000.0,288794
14,1000000.0,288794
15,1000000.0,279297
16,1000000.0,279297
17,1000000.0,222229
18,1000000.0,119310
19,1000000.0,3097
20,1000000.0,204316
21,1000000.0,154838
22,120399.0,204316
23,831385.0,192645
24,61727.0,105435
25,1000000.0,28594
26,1000000.0,29200
27,1000000.0,133809
28,1000000.0,15324
29,1000000.0,7089
30,1000000.0,7089
31,1000000.0,221413
32,607501.0,211416
33,1000000.0,7398
34,1000000.0,272693
35,1000000.0,272693
36,1000000.0,272693
37,380635.0,333746
38,567411.0,214389
39,1000000.0,214389
40,567411.0,214389
41,409275.0,91491
42,1000000.0,79052
43,1000000.0,225695
44,466098.0,255186
45,466098.0,255186
46,533902.0,247093
47,533902.0,247093
48,466098.0,255186
49,533902.0,247093
50,533902.0,247093
51,466098.0,255186
52,690088.0,271642
53,1000000.0,5548
54,690088.0,221059
55,690088.0,271642
56,1000000.0,26168
57,690088.0,193519
58,590725.0,271642
59,1000000.0,3635
60,1000000.0,128170
61,1000000.0,246560
62,1000000.0,246560
63,1000000.0,246560
64,1000000.0,90409
65,658213.0,95288
66,403836.0,267372
67,403836.0,242542
68,403836.0,225999
69,403836.0,225999
70,403836.0,242542
71,403836.0,225999
72,403836.0,225999
73,45155.0,225999
74,596164.0,344692
75,1000000.0,142306
76,1000000.0,7115
77,403836.0,225999
78,1000000.0,268690
79,328897.0,268690
80,328897.0,268690
81,1000000.0,135184
82,1000000.0,153415
83,1000000.0,353227
84,1000000.0,28199
85,1000000.0,28199
86,1000000.0,70210
87,1000000.0,70210
88,32246.0,32447
89,1000000.0,363720
90,612745.0,118815
91,387255.0,158420
92,387255.0,158420
93,387255.0,158420
94,387255.0,261089
95,1000000.0,235875
96,1000000.0,24451
97,223808.0,357639
98,1000000.0,357639
99,259504.0,208024
100,1000000.0,208024
101,1000000.0,178170
102,1000000.0,25387
103,1000000.0,56853
104,1000000.0,263451
105,1000000.0,25387
106,1000000.0,263451
107,978629.0,178170
108,489511.0,53972
109,1000000.0,295579
110,1000000.0,78081
111,336477.0,167671
112,1000000.0,43039
113,1000000.0,43039
114,397805.0,211198
115,602195.0,181251
116,397805.0,211198
117,839535.0,369580
118,839535.0,369580
119,954845.0,7597
120,839535.0,369580
121,839535.0,369580
122,1000000.0,49329
123,1000000.0,28666
124,1000000.0,246286
125,1000000.0,246286
126,1000000.0,246286
127,1000000.0,42199
128,1000000.0,267372
129,1000000.0,267372
130,1000000.0,267372
131,1000000.0,267372
132,1000000.0,267372
133,847290.0,267372
134,45155.0,267372
135,403836.0,267372
136,403836.0,267372
137,1000000.0,267372
138,529645.0,93160
139,1000000.0,2278
140,1000000.0,93160
141,1000000.0,93160
142,1000000.0,2278
143,1000000.0,2208
144,1000000.0,2208
145,1000000.0,148810
146,1000000.0,148810
147,1000000.0,58338
148,1000000.0,148810
149,1000000.0,148810
150,1000000.0,148810
151,1000000.0,148810
152,1000000.0,54372
153,1000000.0,54372
154,1000000.0,8502
155,1000000.0,302466
156,1000000.0,253926
157,200633.0,253926
158,846385.0,311065
159,1000000.0,19637
160,846385.0,311065
161,846385.0,311065
162,153615.0,198066
163,1000000.0,19637
164,846385.0,311065
165,153615.0,198066
166,846385.0,311065
167,1000000.0,91187
168,652162.0,91187
169,652162.0,91187
170,1000000.0,178170
171,1000000.0,178170
172,1000000.0,263451
173,1000000.0,178170
174,1000000.0,263451
175,978629.0,53742
176,340739.0,163847
177,340739.0,163847
178,286332.0,93767
179,372929.0,287867
180,340739.0,163847
181,659261.0,60854
182,100145.0,213987
183,1000000.0,55141
184,58786.0,40180
185,1000000.0,18903
186,191479.0,156902
187,191479.0,156902
188,191479.0,65083
189,1000000.0,83982
190,1000000.0,352096
191,1000000.0,169193
192,392499.0,114143
193,1000000.0,352096
194,1000000.0,21460
195,1000000.0,169193
196,1000000.0,11258
197,1000000.0,3619
198,1000000.0,366669
199,1000000.0,366669
200,1000000.0,22934
201,1000000.0,371923
202,876527.0,297611
203,1000000.0,119339
204,1000000.0,344718
205,876527.0,297611
206,876527.0,297611
207,1000000.0,11825
208,1000000.0,206432
209,1000000.0,206432
210,1000000.0,206432
211,1000000.0,206432
212,1000000.0,206432
213,1000000.0,206432
214,1000000.0,206432
215,478495.0,206432
216,1000000.0,2807
217,1000000.0,147348
218,1000000.0,4478
219,1000000.0,378040
220,1000000.0,11341
221,1000000.0,37622
222,1000000.0,131539
223,1000000.0,67391
224,1000000.0,152198
225,1000000.0,39245
226,1000000.0,152198
227,887456.0,39245
228,521505.0,152198
229,1000000.0,152198
230,1000000.0,179532
231,1000000.0,179532
232,1000000.0,179532
233,1000000.0,325997
234,1000000.0,179532
235,607501.0,221413
236,1000000.0,104697
237,1000000.0,155307
238,1000000.0,104697
239,1000000.0,10511
240,1000000.0,175846
241,1000000.0,175846
242,1000000.0,105878
243,306133.0,105878
244,1000000.0,245770
245,1000000.0,6419
246,451127.0,328957
247,1000000.0,36967
248,1000000.0,288441
249,993989.0,73685
250,1000000.0,288441
251,774886.0,233950
252,993989.0,73685
253,1000000.0,69068
254,852888.0,313282
255,237704.0,238212
256,237704.0,238212
257,237704.0,238212
258,237704.0,200442
259,237704.0,166442
260,1000000.0,4516
261,1000000.0,73051
262,1000000.0,325997
263,1000000.0,85755
264,1000000.0,370942
265,1000000.0,48597
266,1000000.0,229271
267,568219.0,370942
268,1000000.0,229271
269,1000000.0,370942
270,1000000.0,370942
271,1000000.0,370942
272,1000000.0,370942
273,1000000.0,48597
274,1000000.0,21563
275,671103.0,317694
276,671103.0,317694
277,1000000.0,104927
278,590575.0,317694
279,1000000.0,29833
280,1000000.0,29833
281,1000000.0,282816
282,1000000.0,29833
283,1000000.0,134425
284,666921.0,237227
285,1000000.0,237227
286,813584.0,237227
287,1000000.0,41612
288,845355.0,265880
289,547795.0,271097
290,547795.0,369998
291,1000000.0,108808
292,1000000.0,108808
293,1000000.0,45305
294,1000000.0,34373
295,1000000.0,11205
296,1000000.0,273305
297,450629.0,368488
298,466925.0,172009
299,1000000.0,273305
300,450629.0,368488
301,1000000.0,273305
302,450629.0,368488
303,1000000.0,242829
304,1000000.0,242829
305,739612.0,251511
306,1000000.0,131834
307,1000000.0,242264
308,259657.0,197553
309,259657.0,197553
310,1000000.0,6039
311,1000000.0,93270
312,1000000.0,152014
313,1000000.0,7893
314,1000000.0,82838
315,1000000.0,377440
316,1000000.0,346756
317,349879.0,74953
318,349879.0,74953
319,349879.0,74953
320,1000000.0,45947
321,1000000.0,57876
322,1000000.0,57876
323,1000000.0,106194
324,1000000.0,35222
325,1000000.0,49111
326,1000000.0,49111
327,1000000.0,13213
328,1000000.0,269239
329,1000000.0,332817
330,1000000.0,19428
331,203997.0,123241
332,203997.0,123241
333,1000000.0,160052
334,1000000.0,348343
335,1000000.0,373517
336,1000000.0,373517
337,1000000.0,373517
338,1000000.0,373517
339,1000000.0,373517
340,510489.0,373517
341,1000000.0,38407
342,1000000.0,373517
343,1000000.0,373517
344,529645.0,93160
345,529645.0,93160
346,529645.0,93160
347,529645.0,93160
348,448363.0,87784
349,448363.0,248271
350,448363.0,345527
