,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
0,0,28,0.420745,109143,109143,1
1,0,423,1.0,105033,105033,1
2,0,1532,0.143467,268596,268596,1
3,1,338,0.031375,14893,14893,1
4,1,612,0.968625,177440,177440,1
5,1,761,0.664098,151248,151248,1
6,1,772,0.031375,36962,36962,1
7,1,1060,0.114206,177440,177440,1
8,1,1095,0.031375,36962,36962,1
9,1,1255,0.031375,191901,191901,1
10,1,1576,0.067454,65583,65583,1
11,1,1791,0.031375,191901,191901,1
12,1,1858,0.234289,151248,151248,1
13,2,1696,0.302942,7795,7795,1
14,3,8,0.58941,30518,30518,1
15,3,328,0.057186,252579,252579,1
16,3,510,0.195601,66728,66728,1
17,3,577,0.195601,66728,66728,1
18,3,860,0.58561,119334,119334,1
19,3,964,0.195601,3890,3890,1
20,3,980,0.056615,376113,376113,1
21,3,991,0.195601,46169,46169,1
22,3,1237,0.015897,67742,67742,1
23,3,1495,0.08615,129268,129268,1
24,3,1820,0.58561,119334,119334,1
25,3,1965,0.056615,376113,376113,1
26,3,1987,0.045633,96860,96860,1
27,4,255,0.648874,193512,193512,1
28,4,585,0.174089,318973,318973,1
29,4,642,0.174089,318973,318973,1
30,4,780,0.648874,193512,193512,1
31,4,802,0.036419,278172,278172,1
32,4,903,0.036419,295751,295751,1
33,4,1145,0.036419,128188,128188,1
34,4,1311,0.399671,26316,26316,1
35,4,1527,0.013556,362148,362148,1
36,4,1601,0.287953,193512,193512,1
37,4,1647,0.174089,318973,318973,1
38,4,1682,0.036419,295751,295751,1
39,4,1801,0.157784,193512,193512,1
40,4,1973,0.174089,318973,318973,1
41,5,160,0.858488,303448,303448,1
42,5,259,0.565949,257019,257019,1
43,5,542,0.993827,3560,3560,1
44,5,812,0.169202,303448,303448,1
45,5,958,0.565949,257019,257019,1
46,5,1118,0.661097,303448,303448,1
47,5,1257,0.731059,79294,79294,1
48,5,1582,1.0,71779,71779,1
49,5,1704,0.175884,38928,38928,1
50,5,1909,0.189248,54571,54571,1
51,6,62,0.169086,316279,316279,1
52,6,334,0.430055,297643,297643,1
53,6,430,0.194828,312953,312953,1
54,6,910,0.335559,316279,316279,1
55,6,1223,0.908017,297643,297643,2
56,6,1289,0.302158,312953,312953,1
57,6,1308,0.454016,316279,316279,1
58,6,1364,0.454016,316279,316279,1
59,6,1558,0.468119,297643,297643,1
60,6,1754,0.302158,312953,312953,1
61,6,1788,0.908017,297643,297643,2
62,6,1961,0.454016,316279,316279,1
63,7,61,0.039965,308885,308885,1
64,7,115,0.158744,365685,365685,1
65,7,451,0.039965,308885,308885,1
66,7,484,0.05797,223964,223964,1
67,7,746,0.356453,223964,223964,1
68,7,773,0.195772,365685,365685,1
69,7,781,0.211058,365685,365685,1
70,7,827,0.24127,365685,365685,1
71,7,876,0.108909,365685,365685,1
72,7,882,0.358646,223964,223964,1
73,7,1076,0.378153,223964,223964,1
74,7,1203,0.579325,347787,347787,1
75,7,1207,0.24127,365685,365685,1
76,7,1243,0.108909,365685,365685,1
77,7,1275,0.385462,347787,347787,1
78,7,1328,0.44517,347787,347787,1
79,7,1391,0.039965,308885,308885,1
80,7,1499,0.108909,365685,365685,1
81,7,1505,0.29071,136374,136374,1
82,7,1557,0.039965,308885,308885,1
83,7,1576,0.211058,365685,365685,1
