,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
0,0,239,1.0,133810,133810,1
1,0,316,1.0,2180,2180,1
2,0,385,1.0,323211,323211,1
3,0,531,1.0,323211,323211,1
4,0,688,1.0,222788,222788,1
5,1,317,1.0,5375,5375,1
6,1,481,1.0,302962,302962,1
7,3,510,1.0,121291,121291,1
8,3,1313,0.017936,328926,328926,1
9,3,1417,0.017936,328926,328926,1
10,3,1795,1.0,88275,88275,1
11,4,308,0.801692,279297,279297,1
12,4,717,1.0,64427,64427,1
13,4,797,1.0,288794,288794,1
14,4,853,1.0,288794,288794,1
15,4,1334,1.0,279297,279297,1
16,4,1890,1.0,279297,279297,1
17,5,607,1.0,222229,222229,1
18,6,879,1.0,119310,119310,1
19,6,1100,1.0,3097,3097,1
20,7,1462,1.0,204316,204316,1
21,7,1786,1.0,154838,154838,1
22,7,1850,0.120399,204316,204316,1
23,9,453,0.831385,192645,192645,1
24,9,570,0.061727,105435,105435,1
25,9,1773,1.0,28594,28594,1
26,10,285,1.0,29200,29200,1
27,10,809,1.0,133809,133809,1
28,10,1580,1.0,15324,15324,1
29,10,1611,1.0,7089,7089,1
30,10,1923,1.0,7089,7089,1
31,11,76,1.0,221413,221413,1
32,11,1216,0.607501,211416,211416,1
33,12,329,1.0,7398,7398,1
34,13,707,1.0,272693,272693,1
35,13,1201,1.0,272693,272693,1
36,13,1920,1.0,272693,272693,1
37,14,379,0.380635,333746,333746,1
38,14,611,0.567411,214389,214389,1
39,14,1518,1.0,214389,214389,1
40,14,1635,0.567411,214389,214389,1
41,14,1984,0.409275,91491,91491,1
42,15,1054,1.0,79052,79052,1
43,16,875,1.0,225695,225695,1
44,17,304,0.466098,255186,255186,1
45,17,722,0.466098,255186,255186,1
46,17,1053,0.533902,247093,247093,1
47,17,1282,0.533902,247093,247093,1
48,17,1540,0.466098,255186,255186,1
49,17,1544,0.533902,247093,247093,1
50,17,1816,0.533902,247093,247093,1
51,17,1859,0.466098,255186,255186,1
52,18,240,0.690088,271642,271642,1
53,18,320,1.0,5548,5548,1
54,18,724,0.690088,221059,221059,1
55,18,963,0.690088,271642,271642,1
56,18,1312,1.0,26168,26168,1
57,18,1812,0.690088,193519,193519,1
58,18,1984,0.590725,271642,271642,1
59,19,321,1.0,3635,3635,1
60,20,381,1.0,128170,128170,1
61,20,867,1.0,246560,246560,1
62,20,1123,1.0,246560,246560,1
63,20,1366,1.0,246560,246560,1
64,20,1651,1.0,90409,90409,1
65,22,135,0.658213,95288,95288,1
66,24,41,0.403836,267372,267372,1
67,24,166,0.403836,242542,242542,1
68,24,203,0.403836,225999,225999,1
69,24,270,0.403836,225999,225999,1
70,24,291,0.403836,242542,242542,1
71,24,489,0.403836,225999,225999,1
72,24,763,0.403836,225999,225999,1
73,24,883,0.045155,225999,225999,1
74,24,950,0.596164,344692,344692,1
75,24,1604,1.0,142306,142306,1
76,24,1664,1.0,7115,7115,1
77,24,1995,0.403836,225999,225999,1
78,25,685,1.0,268690,268690,1
79,25,1031,0.328897,268690,268690,1
80,25,1381,0.328897,268690,268690,1
81,25,1682,1.0,135184,135184,1
82,26,828,1.0,153415,153415,1
83,26,1993,1.0,353227,353227,1
84,27,234,1.0,28199,28199,1
85,27,1087,1.0,28199,28199,1
86,27,1491,1.0,70210,70210,1
87,27,1967,1.0,70210,70210,1
88,28,154,0.032246,32447,32447,1
89,28,1506,1.0,363720,363720,1
90,29,81,0.612745,118815,118815,1
91,29,1196,0.387255,158420,158420,1
92,29,1345,0.387255,158420,158420,1
93,29,1643,0.387255,158420,158420,1
94,29,1916,0.387255,261089,261089,1
95,30,1117,1.0,235875,235875,1
96,30,1142,1.0,24451,24451,1
97,32,646,0.223808,357639,357639,1
98,32,1272,1.0,357639,357639,1
99,33,726,0.259504,208024,208024,1
100,33,1363,1.0,208024,208024,1
101,35,50,1.0,178170,178170,1
102,35,751,1.0,25387,25387,1
103,35,842,1.0,56853,56853,1
104,35,1052,1.0,263451,263451,1
105,35,1267,1.0,25387,25387,1
106,35,1801,1.0,263451,263451,1
107,35,1999,0.978629,178170,178170,1
108,36,509,0.489511,53972,53972,1
109,36,1523,1.0,295579,295579,1
110,36,1559,1.0,78081,78081,1
111,37,250,0.336477,167671,167671,1
112,37,299,1.0,43039,43039,1
113,37,597,1.0,43039,43039,1
114,37,1147,0.397805,211198,211198,1
115,37,1238,0.602195,181251,181251,1
116,37,1894,0.397805,211198,211198,1
117,38,251,0.839535,369580,369580,1
118,38,629,0.839535,369580,369580,1
119,38,883,0.954845,7597,7597,1
120,38,1019,0.839535,369580,369580,1
121,38,1930,0.839535,369580,369580,1
122,39,1021,1.0,49329,49329,1
123,39,1469,1.0,28666,28666,1
124,40,939,1.0,246286,246286,1
125,40,1346,1.0,246286,246286,1
126,40,1481,1.0,246286,246286,1
127,40,1627,1.0,42199,42199,1
128,41,166,1.0,267372,267372,1
129,41,203,1.0,267372,267372,1
130,41,270,1.0,267372,267372,1
131,41,291,1.0,267372,267372,1
132,41,489,1.0,267372,267372,1
133,41,763,0.84729,267372,267372,1
134,41,883,0.045155,267372,267372,1
135,41,1604,0.403836,267372,267372,1
136,41,1664,0.403836,267372,267372,1
137,41,1995,1.0,267372,267372,1
138,42,119,0.529645,93160,93160,1
139,42,130,1.0,2278,2278,1
140,42,398,1.0,93160,93160,1
141,42,654,1.0,93160,93160,1
142,42,1730,1.0,2278,2278,1
143,43,131,1.0,2208,2208,1
144,43,1731,1.0,2208,2208,1
145,45,199,1.0,148810,148810,1
146,45,1016,1.0,148810,148810,1
147,45,1526,1.0,58338,58338,1
148,45,1537,1.0,148810,148810,1
149,45,1633,1.0,148810,148810,1
150,45,1716,1.0,148810,148810,1
151,45,1940,1.0,148810,148810,1
152,46,146,1.0,54372,54372,1
153,46,540,1.0,54372,54372,1
154,46,1499,1.0,8502,8502,1
155,47,982,1.0,302466,302466,1
156,47,1500,1.0,253926,253926,1
157,47,1803,0.200633,253926,253926,1
158,48,179,0.846385,311065,311065,1
159,48,302,1.0,19637,19637,1
160,48,488,0.846385,311065,311065,1
161,48,590,0.846385,311065,311065,1
162,48,591,0.153615,198066,198066,1
163,48,705,1.0,19637,19637,1
164,48,1550,0.846385,311065,311065,1
165,48,1881,0.153615,198066,198066,1
166,48,1994,0.846385,311065,311065,1
167,49,467,1.0,91187,91187,1
168,49,627,0.652162,91187,91187,1
169,49,749,0.652162,91187,91187,1
170,50,751,1.0,178170,178170,1
171,50,842,1.0,178170,178170,1
172,50,1052,1.0,263451,263451,1
173,50,1267,1.0,178170,178170,1
174,50,1801,1.0,263451,263451,1
175,50,1999,0.978629,53742,53742,1
176,51,124,0.340739,163847,163847,1
177,51,219,0.340739,163847,163847,1
178,51,247,0.286332,93767,93767,1
179,51,572,0.372929,287867,287867,1
180,51,914,0.340739,163847,163847,1
181,51,1102,0.659261,60854,60854,1
182,51,1403,0.100145,213987,213987,1
183,52,766,1.0,55141,55141,1
184,54,1783,0.058786,40180,40180,1
185,55,1175,1.0,18903,18903,1
186,55,1261,0.191479,156902,156902,1
187,55,1280,0.191479,156902,156902,1
188,55,1696,0.191479,65083,65083,1
189,56,1209,1.0,83982,83982,1
190,57,631,1.0,352096,352096,1
191,57,894,1.0,169193,169193,1
192,57,1216,0.392499,114143,114143,1
193,57,1317,1.0,352096,352096,1
194,57,1528,1.0,21460,21460,1
195,57,1836,1.0,169193,169193,1
196,58,139,1.0,11258,11258,1
197,58,1460,1.0,3619,3619,1
198,58,1601,1.0,366669,366669,1
199,58,1740,1.0,366669,366669,1
200,62,1318,1.0,22934,22934,1
201,63,441,1.0,371923,371923,1
202,63,641,0.876527,297611,297611,1
