,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
0,50,142,1.0,182401,1746203,283834
1,50,238,1.0,169792,1746203,282573
2,50,310,1.0,248506,1746200,282997
3,50,398,1.0,212175,1746204,283185
4,50,920,1.0,351577,1746204,285333
5,50,1052,1.0,249579,1746201,285121
6,50,1094,1.0,166996,1746203,284075
7,50,1346,1.0,178461,1746203,283825
8,50,1472,1.0,70896,1746203,282224
9,142,238,1.0,143513,1746201,286396
10,142,310,1.0,177654,1746203,284145
11,142,398,1.0,275187,1746204,284237
12,142,920,1.0,16870,1746204,273287
13,142,1052,1.0,43177,1746203,282174
14,142,1094,1.0,154304,1746202,282772
15,142,1346,1.0,294929,1746202,285027
16,142,1472,1.0,254439,1746201,283551
17,238,310,1.0,153771,1746203,282758
18,238,398,1.0,213736,1746204,284152
19,238,920,1.0,120627,1746204,286318
20,238,1052,1.0,249674,1746203,284839
21,238,1094,1.0,269307,1746202,288916
22,238,1346,1.0,201669,1746202,284724
23,238,1472,1.0,51759,1746198,283255
24,310,398,1.0,205781,1746204,282377
25,310,920,1.0,279088,1746204,280685
26,310,1052,1.0,258410,1746201,282876
27,310,1094,1.0,54859,1746203,281661
28,310,1346,1.0,252709,1746203,284018
29,310,1472,1.0,149891,1746203,283384
30,398,920,1.0,174362,1746199,284353
31,398,1052,1.0,24583,1746204,279649
32,398,1094,1.0,42595,1746204,285279
33,398,1346,1.0,210658,1746204,281745
34,398,1472,1.0,232182,1746204,285218
35,920,1052,1.0,112297,1746204,283141
36,920,1094,1.0,201669,1746204,283133
37,920,1346,1.0,61443,1746204,281153
38,920,1472,1.0,243573,1746204,284368
39,1052,1094,1.0,247090,1746203,285439
40,1052,1346,1.0,120207,1746203,281902
41,1052,1472,1.0,266992,1746203,283120
42,1094,1346,1.0,225796,1746201,283504
43,1094,1472,1.0,4811,1746202,272174
44,1346,1472,1.0,256575,1746202,283949
0,361,473,1.0,241767,1746204,281314
1,361,975,1.0,248857,1746202,283390
2,361,1035,1.0,301147,1746203,285949
3,361,1137,1.0,243075,1746198,284010
4,361,1181,1.0,191003,1746202,281787
5,361,1226,1.0,136605,1746204,283808
6,361,1291,1.0,244482,1746203,282792
7,361,1488,1.0,170477,1746205,283455
8,361,1875,1.0,196220,1746198,284431
9,473,975,1.0,150510,1746204,282265
10,473,1035,1.0,150473,1746204,282739
11,473,1137,1.0,48220,1746204,282698
12,473,1181,1.0,282759,1746204,283045
13,473,1226,1.0,160703,1746202,284944
14,473,1291,1.0,310139,1746204,282207
15,473,1488,1.0,210283,1746205,282848
16,473,1875,1.0,218642,1746204,284634
17,975,1035,1.0,240902,1746203,282931
18,975,1137,1.0,112325,1746202,281005
19,975,1181,1.0,192886,1746197,281338
20,975,1226,1.0,166996,1746204,284203
21,975,1291,1.0,173679,1746203,284530
22,975,1488,1.0,122966,1746205,281873
23,975,1875,1.0,234280,1746202,282965
24,1035,1137,1.0,41605,1746203,280362
25,1035,1181,1.0,349335,1746203,285050
26,1035,1226,1.0,240902,1746204,285752
27,1035,1291,1.0,120842,1746202,282054
28,1035,1488,1.0,101146,1746205,282969
29,1035,1875,1.0,72956,1746203,281293
30,1137,1181,1.0,114572,1746202,284401
31,1137,1226,1.0,210184,1746204,285648
32,1137,1291,1.0,134214,1746203,283647
33,1137,1488,1.0,126599,1746205,282842
34,1137,1875,1.0,320683,1746197,284462
35,1181,1226,1.0,222856,1746204,286288
36,1181,1291,1.0,117984,1746203,283432
37,1181,1488,1.0,223324,1746205,284642
38,1181,1875,1.0,77305,1746202,283263
39,1226,1291,1.0,214888,1746204,285467
40,1226,1488,1.0,154684,1746205,288012
41,1226,1875,1.0,250276,1746204,284478
42,1291,1488,1.0,158869,1746205,281795
43,1291,1875,1.0,149377,1746203,284680
44,1488,1875,1.0,203183,1746205,282759
0,173,509,1.0,132812,1746204,283364
1,173,637,1.0,227274,1746202,286259
2,173,1035,1.0,189395,1746203,283525
3,173,1248,1.0,122119,1746202,285595
4,173,1379,1.0,122299,1746202,281350
5,173,1455,1.0,193545,1746204,284372
6,173,1534,1.0,152524,1746202,285357
7,173,1541,1.0,185120,1746204,282840
8,173,1880,1.0,48909,1746204,281033
9,509,637,1.0,155389,1746204,284333
10,509,1035,1.0,176742,1746204,282045
11,509,1248,1.0,181679,1746204,281027
12,509,1379,1.0,206263,1746204,282696
13,509,1455,1.0,77056,1746202,275039
14,509,1534,1.0,79509,1746204,282007
15,509,1541,1.0,137273,1746203,281280
16,509,1880,1.0,61427,1746202,277155
17,637,1035,1.0,145859,1746203,281614
18,637,1248,1.0,285852,1746197,284174
19,637,1379,1.0,149565,1746201,288362
20,637,1455,1.0,172900,1746204,284281
21,637,1534,1.0,12332,1746201,280460
