id,parent0,parent1,time,is_sample
1,12836,13008,0,1
33,14615,13302,0,1
35,18848,10081,0,1
40,18848,10081,0,1
49,10024,10702,0,1
51,12836,13008,0,1
69,13399,18495,0,1
73,16962,14147,0,1
76,10155,17488,0,1
84,18848,10081,0,1
88,13470,11207,0,1
106,18170,12982,0,1
112,19406,14280,0,1
115,10155,17488,0,1
122,10316,18235,0,1
153,10316,18235,0,1
161,10316,18235,0,1
162,16962,14147,0,1
166,16962,14147,0,1
167,16962,14147,0,1
175,13682,13523,0,1
187,10155,17488,0,1
188,14086,12341,0,1
191,17219,18509,0,1
193,18848,10081,0,1
196,18848,10081,0,1
199,17361,12330,0,1
235,12836,13008,0,1
243,12102,14329,0,1
254,10316,18235,0,1
258,12200,10146,0,1
292,14947,10705,0,1
308,10155,17488,0,1
323,18848,10081,0,1
333,10155,17488,0,1
336,17197,14582,0,1
338,16492,18203,0,1
343,10316,18235,0,1
359,16718,11156,0,1
363,16962,14147,0,1
364,13725,19897,0,1
370,16962,14147,0,1
378,14658,12240,0,1
379,16962,14147,0,1
394,10155,17488,0,1
402,10316,18235,0,1
409,11422,18232,0,1
413,12836,13008,0,1
424,10155,17488,0,1
426,10155,17488,0,1
437,14571,14175,0,1
448,16851,18264,0,1
467,10033,19960,0,1
477,19922,10996,0,1
481,18848,10081,0,1
483,10316,18235,0,1
488,10316,18235,0,1
492,10316,18235,0,1
501,10024,10702,0,1
509,10155,17488,0,1
533,18721,16846,0,1
543,12015,11282,0,1
552,10316,18235,0,1
556,12836,13008,0,1
564,19994,19872,0,1
566,12836,13008,0,1
567,10155,17488,0,1
570,19255,16490,0,1
583,18848,10081,0,1
599,18872,12133,0,1
600,13401,18432,0,1
611,10155,17488,0,1
617,12836,13008,0,1
624,10155,17488,0,1
636,11506,16067,0,1
639,10155,17488,0,1
649,18848,10081,0,1
678,18219,18154,0,1
692,12836,13008,0,1
707,18848,10081,0,1
727,10155,17488,0,1
742,14841,17217,0,1
756,10155,17488,0,1
773,18584,15837,0,1
774,19696,17634,0,1
787,12485,15451,0,1
788,10316,18235,0,1
797,19680,13882,0,1
804,14658,12240,0,1
808,15748,14257,0,1
830,10535,11288,0,1
832,10316,18235,0,1
837,12262,18856,0,1
858,18504,14843,0,1
860,11269,18632,0,1
861,17544,10552,0,1
911,16511,15422,0,1
918,17109,14325,0,1
919,16779,17101,0,1
939,11524,14394,0,1
978,16962,14147,0,1
981,11233,10197,0,1
998,10589,14414,0,1
1025,10155,17488,0,1
1035,10316,18235,0,1
1042,11088,18612,0,1
1054,11604,18709,0,1
1057,16962,14147,0,1
1060,16962,14147,0,1
1065,10238,10105,0,1
1066,15932,10633,0,1
1101,12836,13008,0,1
1114,12836,13008,0,1
1126,16962,14147,0,1
1129,10316,18235,0,1
1135,10155,17488,0,1
1143,13223,10184,0,1
1152,12136,19754,0,1
1154,13556,12821,0,1
1159,18848,10081,0,1
1163,11188,19586,0,1
1165,10155,17488,0,1
1180,18848,10081,0,1
1184,10316,18235,0,1
1188,16962,14147,0,1
1202,16962,14147,0,1
1215,19177,10276,0,1
1278,12836,13008,0,1
1280,12836,13008,0,1
1285,18955,11645,0,1
1291,15999,13053,0,1
1294,18079,14382,0,1
1315,16962,14147,0,1
1322,10015,12809,0,1
1330,12836,13008,0,1
1335,13126,14532,0,1
1343,15380,17048,0,1
1349,10316,18235,0,1
1360,16893,15376,0,1
1361,12836,13008,0,1
1391,13446,16242,0,1
1409,18848,10081,0,1
1415,18537,14480,0,1
1429,16748,19030,0,1
1459,12836,13008,0,1
1470,17824,15636,0,1
1480,12836,13008,0,1
1494,10425,10858,0,1
1504,10316,18235,0,1
1546,12743,14460,0,1
1549,18848,10081,0,1
1555,16962,14147,0,1
1557,17673,14117,0,1
1566,16962,14147,0,1
1578,10316,18235,0,1
1608,10316,18235,0,1
1610,10155,17488,0,1
1630,10316,18235,0,1
1631,16199,16114,0,1
1637,16962,14147,0,1
1638,12407,13044,0,1
1639,11608,14651,0,1
1670,10316,18235,0,1
1678,16962,14147,0,1
1679,11797,12031,0,1
1681,13320,15531,0,1
1684,18848,10081,0,1
1685,10960,17689,0,1
1695,15188,13136,0,1
1709,18374,10357,0,1
1722,15681,18956,0,1
1723,10316,18235,0,1
1725,14433,17508,0,1
1727,16962,14147,0,1
1737,12836,13008,0,1
1746,12836,13008,0,1
1761,10316,18235,0,1
1775,10232,14299,0,1
1779,15552,13584,0,1
1783,10316,18235,0,1
1788,12836,13008,0,1
1790,10155,17488,0,1
1792,16695,13928,0,1
1807,16113,12943,0,1
1810,17216,16470,0,1
1812,16746,12038,0,1
1819,17920,15572,0,1
1835,12885,18908,0,1
1836,10069,19342,0,1
1843,18848,10081,0,1
1858,13980,16246,0,1
1861,16962,14147,0,1
1862,10155,17488,0,1
1864,13196,17548,0,1
1882,14072,19984,0,1
1884,10678,10138,0,1
1890,15594,15334,0,1
1900,19573,14632,0,1
1901,15023,18011,0,1
1938,19736,18820,0,1
1941,16962,14147,0,1
1945,17234,19721,0,1
1958,10622,18688,0,1
1987,15180,13073,0,1
1988,12836,13008,0,1
2011,16506,12493,0,1
2013,10316,18235,0,1
2015,18848,10081,0,1
2019,10155,17488,0,1
2045,12836,13008,0,1
2067,10316,18235,0,1
2068,10155,17488,0,1
2072,16962,14147,0,1
2076,10439,11101,0,1
2091,10155,17488,0,1
2104,15539,14614,0,1
2105,10316,18235,0,1
2124,13333,18708,0,1
2131,10155,17488,0,1
2140,16962,14147,0,1
2141,16962,14147,0,1
2144,12836,13008,0,1
2152,10969,16133,0,1
2157,16962,14147,0,1
2160,10155,17488,0,1
2163,19561,16085,0,1
2174,10155,17488,0,1
2179,10341,19402,0,1
2184,10316,18235,0,1
2231,10155,17488,0,1
2237,11118,17461,0,1
2242,11541,16802,0,1
2244,10668,12233,0,1
2251,16962,14147,0,1
2255,10316,18235,0,1
2256,17281,10538,0,1
2259,12500,18839,0,1
2270,12836,13008,0,1
2291,18848,10081,0,1
2292,18848,10081,0,1
2304,13100,12979,0,1
2329,18417,12760,0,1
2332,10316,18235,0,1
2336,14790,18875,0,1
2402,17137,19227,0,1
2403,16962,14147,0,1
2407,16125,16105,0,1
2410,16962,14147,0,1
2414,18848,10081,0,1
2437,10155,17488,0,1
2442,18848,10081,0,1
2449,19064,16807,0,1
2464,18848,10081,0,1
2474,18848,10081,0,1
2488,17014,17732,0,1
2495,10316,18235,0,1
2502,16962,14147,0,1
2522,10155,17488,0,1
2524,18848,10081,0,1
2529,18848,10081,0,1
2556,10316,18235,0,1
2561,18848,10081,0,1
2595,12520,16721,0,1
2599,12836,13008,0,1
2600,10316,18235,0,1
2605,12822,19296,0,1
2662,16962,14147,0,1
2671,17095,14289,0,1
2680,16962,14147,0,1
2681,10155,17488,0,1
2682,11103,17320,0,1
2686,14231,15029,0,1
2698,10155,17488,0,1
2706,15318,18805,0,1
2708,10316,18235,0,1
2715,12051,19305,0,1
2716,10155,17488,0,1
2721,10322,18178,0,1
2726,13433,18037,0,1
2732,19546,19943,0,1
2740,18848,10081,0,1
2741,16962,14147,0,1
2755,10316,18235,0,1
2766,18848,10081,0,1
2770,19799,16964,0,1
2783,11470,14134,0,1
2791,18848,10081,0,1
2823,11745,19473,0,1
2828,16962,14147,0,1
2830,16797,10716,0,1
2832,10155,17488,0,1
2835,10155,17488,0,1
2841,13755,12409,0,1
2847,12836,13008,0,1
2861,19234,19571,0,1
2910,18848,10081,0,1
2917,10316,18235,0,1
2924,12836,13008,0,1
2934,16962,14147,0,1
2940,18999,13238,0,1
2961,18903,12787,0,1
2963,15312,12752,0,1
2965,10155,17488,0,1
2968,18467,19098,0,1
2975,16271,18527,0,1
2980,16962,14147,0,1
2992,16962,14147,0,1
2998,18070,19687,0,1
3001,16962,14147,0,1
3013,12682,14737,0,1
3015,11390,14386,0,1
3016,12836,13008,0,1
3021,19949,16585,0,1
3026,17631,11822,0,1
3040,18848,10081,0,1
3043,15028,12902,0,1
3054,13583,16515,0,1
3055,11069,19370,0,1
3062,10316,18235,0,1
3066,16962,14147,0,1
3069,10155,17488,0,1
3088,12881,16692,0,1
3100,10155,17488,0,1
3102,10155,17488,0,1
3103,18848,10081,0,1
3116,17321,19776,0,1
3136,10112,10074,0,1
3152,14560,18806,0,1
3166,17913,18240,0,1
3177,12836,13008,0,1
3180,18848,10081,0,1
3193,10316,18235,0,1
3196,12836,13008,0,1
3206,10316,18235,0,1
3210,16962,14147,0,1
3213,19764,11000,0,1
3230,10155,17488,0,1
3240,10155,17488,0,1
3243,18900,11416,0,1
3248,17040,10888,0,1
3254,10316,18235,0,1
3274,18848,10081,0,1
3282,10155,17488,0,1
3320,17983,10961,0,1
3326,18848,10081,0,1
3338,10681,12993,0,1
3361,12836,13008,0,1
3362,16729,15975,0,1
3371,12324,12355,0,1
3375,16449,12698,0,1
3376,14087,18487,0,1
3378,15409,11865,0,1
3379,13083,13867,0,1
3382,12836,13008,0,1
3388,10155,17488,0,1
3401,16962,14147,0,1
3403,12836,13008,0,1
3417,12040,10640,0,1
3427,11863,19351,0,1
3442,16962,14147,0,1
3443,19657,13730,0,1
3455,12836,13008,0,1
3467,10155,17488,0,1
3470,14291,12626,0,1
3506,17790,10339,0,1
3508,14729,17304,0,1
3513,15375,18002,0,1
3528,18337,19400,0,1
3531,12081,17515,0,1
3571,10316,18235,0,1
3574,13962,18644,0,1
3582,19006,17426,0,1
3599,12836,13008,0,1
3617,12836,13008,0,1
3634,10316,18235,0,1
3646,11942,11812,0,1
3676,10251,12948,0,1
3684,14182,13837,0,1
3704,10440,18248,0,1
3710,16371,18360,0,1
3718,10155,17488,0,1
3734,18238,14548,0,1
3746,12836,13008,0,1
3750,16962,14147,0,1
3767,18557,12987,0,1
3769,13967,18890,0,1
3778,10154,13308,0,1
3781,10316,18235,0,1
3791,18991,10379,0,1
3796,18814,11718,0,1
3834,10316,18235,0,1
3841,10155,17488,0,1
3848,10071,14234,0,1
3849,12836,13008,0,1
3857,10316,18235,0,1
3859,12637,13810,0,1
3874,18848,10081,0,1
3876,10316,18235,0,1
3884,16222,13635,0,1
3892,16962,14147,0,1
3898,18654,10076,0,1
3928,11869,16651,0,1
3948,18005,11397,0,1
3955,18848,10081,0,1
3959,13375,19655,0,1
3984,16962,14147,0,1
3995,10155,17488,0,1
3998,14144,19147,0,1
4002,12778,12583,0,1
4014,18848,10081,0,1
4025,10440,18248,0,1
4032,12836,13008,0,1
4038,18541,16471,0,1
4040,14726,15204,0,1
4045,14074,19067,0,1
4060,12836,13008,0,1
4067,18848,10081,0,1
4119,16805,10891,0,1
4127,10155,17488,0,1
4149,13992,13936,0,1
4151,12918,19301,0,1
4159,10155,17488,0,1
4160,16148,18365,0,1
4174,12836,13008,0,1
4179,12601,14169,0,1
4194,10155,17488,0,1
4197,15038,16356,0,1
4209,12402,19168,0,1
4217,18045,13652,0,1
4262,16962,14147,0,1
4269,18837,14401,0,1
4277,18455,19750,0,1
4279,13140,19004,0,1
4282,18848,10081,0,1
4300,10683,12986,0,1
4311,17271,17342,0,1
4312,14126,12358,0,1
4321,18848,10081,0,1
4343,11619,11279,0,1
4371,18848,10081,0,1
4375,10155,17488,0,1
4377,15487,19116,0,1
4382,10542,16567,0,1
4403,16962,14147,0,1
4404,18848,10081,0,1
4436,12201,12140,0,1
4448,16962,14147,0,1
